Product_Name,Brand,Selling_Price,MRP,Date,Rating,Purchases,Current_Stock,Traffic,Conversion_Rate,Replenishment_Rate,Demand_Score
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,53550.0,74999.0,2023-01-01,3.9,1821,29,1803.0,0.12,4.98,270.75
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,57549.48,74999.0,2023-01-08,3.9,1826,24,1803.0,0.12,4.9,270.75
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,61323.9,74999.0,2023-01-15,4.0,1829,21,1859.32,0.13,4.81,279.2
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,64661.29,74999.0,2023-01-22,4.0,1834,16,1890.48,0.13,4.74,283.88
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,67375.05,74999.0,2023-01-29,4.0,1839,11,1878.65,0.13,4.67,282.1
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,69314.85,74999.0,2023-02-05,4.0,1841,29,1871.44,0.13,4.59,281.02
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,70375.33,74999.0,2023-02-12,4.0,1844,26,1847.5,0.13,4.52,277.43
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,70502.25,74999.0,2023-02-19,4.0,1847,23,1847.5,0.13,4.45,277.43
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,69695.58,74999.0,2023-02-26,4.0,1850,20,1842.2,0.13,4.38,276.63
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,68009.6,74999.0,2023-03-05,4.0,1855,15,1885.91,0.13,4.32,283.19
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,65549.66,74999.0,2023-03-12,4.0,1859,11,1871.57,0.13,4.26,281.04
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,62466.1,74999.0,2023-03-19,4.0,1862,28,1877.36,0.13,4.2,281.91
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,58945.5,74999.0,2023-03-26,3.9,1867,23,1803.0,0.12,4.15,270.75
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,55199.84,74999.0,2023-04-02,3.9,1869,21,1803.0,0.12,4.09,270.75
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,51454.18,74999.0,2023-04-09,3.9,1873,17,1803.0,0.12,4.04,270.75
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,47933.58,74999.0,2023-04-16,3.9,1875,15,1803.0,0.12,3.98,270.75
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,44850.01,74999.0,2023-04-23,3.8,1879,11,1765.83,0.11,3.93,265.17
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,42390.07,74999.0,2023-04-30,3.8,1884,26,1714.48,0.11,3.88,257.46
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,40704.09,74999.0,2023-05-07,3.8,1885,25,1721.91,0.11,3.83,258.58
ASUS AMD Ryzen 5 Hexa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS,39897.43,74999.0,2023-05-14,3.8,1889,21,1755.45,0.11,3.79,263.61
